City_Code,City_Name,State_Code,Country_Code
4,PATNA,11,1
5,MUZAFFARPUR,11,1
7,DARBHANGA,11,1
8,MADHUBANI,11,1
9,HAJIPUR,11,1
10,FARIDABAD,10,1
11,VERNA,4,1
12,MEDAK SANGAREDY,8,1
13,BURY ST EDMUNDS,63,2
14,LAGOS,64,3
15,MUMBAI,5,1
16,NEW DELHI,1,1
17,OLD DELHI,1,1
18,BADDI,12,1
19,GUWAHATI,16,1
20,BANGALORE,6,1
21,BHUBANESWAR,15,1
22,CHENNAI,7,1
23,INDORE,20,1
24,LUDHIANA,9,1
25,DEHRADUN,59,1
26,HOWRAH,59,1
27,HOWRAH,14,1
30,HYDERABAD,8,1
31,JAIPUR,8,1
32,JAIPUR,2,1
33,RANCHI,13,1
35,BHIWANDI,5,1
36,CHANDIGARH,9,1
37,AHMEDABAD,65,1
38,ANKLESHWAR,65,1
39,BALLABGARH,98,1
40,BHAVNAGAR,65,1
41,DHANBAD,11,1
42,JAMMU,19,1
43,CHEMBUR,5,1
44,GURUGRAM,10,1
45,VAPI,65,1
46,VADODARA,65,1
47,DADRA,53,1
48,PHAGWARA,9,1
49,Dhar,20,1
50,MADURAI,7,1
51,Panoli,65,1
52,SHANGYU,66,6
53,UDAIPUR,2,1
54,PONDICHERRY,67,1
55,PUNE,5,1
56,THANE,5,1
57,NOIDA,98,1
58,AMBALA,10,1
59,BAHADURGARH,10,1
60,BHIWADI,2,1
61,JIND,10,1
62,HARIDWAR,59,1
63,KOLKATA,14,1
66,JODHPUR,2,1
67,GOREGAON,5,1
68,NAGPUR,5,1
69,VASHI,5,1
71,RAJKOT,2,1
72,SONEPAT,10,1
73,ALWAR,2,1
74,KURUKSHETRA,10,1
75,MOHALI,9,1
76,VATWA,65,1
77,GATKOPAR,5,1
78,RAIGARH,5,1
79,FINCHLEY,68,2
80,LEEDS,62,2
81,BASINGSTOKE,69,2
82,CORBY,70,2
83,REIGATE,71,2
84,UPMINISTER,72,2
85,NOTTINGHAM,73,2
86,SATARA,5,1
87,SOLAN,12,1
88,SOUTH HAMPTON,69,2
89,BHARUCH,65,1
90,DELHI,1,1
91,MUZAFFARNAGAR,98,1
92,SHILLONG,23,1
93,LAKHISARAI,11,1
94,MAU,98,1
95,KARNAL,10,1
96,HODAL,10,1
97,CHENNAI,8,1
98,PANCHKULA,10,1
101,KANGRA,12,1
102,CITY-1,87,4
103,PALWAL,10,1
104,THAPA,93,27
106,AZAMGARH,98,1
107,REWARI,10,1
108,J. P NAGAR,98,1
109,AGRA,98,1
110,KHURJA,98,1
111,HANOI,95,28
114,IMPHAL EAST,21,1
115,AGARTALA,26,1
116,NORTH LAKHIMPUR,16,1
117,JORHAT,16,1
118,TEJPUR,16,1
119,SIVASAGAR,16,1
120,GHAZIABAD,98,1
121,CUTTACK,15,1
124,KANPUR,98,1
125,ORAI,98,1
126,PRATAPGARH,98,1
127,PILIBHIT,98,1
131,RUDRAPUR,59,1
133,BAGPAT,98,1
134,MEERUT,98,1
136,SAMBALPUR,15,1
137,ANGUL,15,1
138,BEHRAMPUR,15,1
139,SILAPATHAR,16,1
140,AGARTALA,16,1
142,ALIGARH,98,1
144,UJJAIN,20,1
146,GUNA,20,1
147,CHHATARPUR,20,1
148,SAGAR,20,1
149,BHOPAL,20,1
150,NARSINGPUR,20,1
151,TIKAMGARH,20,1
152,DEWAS,20,1
153,BURHANPUR,20,1
154,DAMOH,20,1
155,JABALPUR,20,1
156,SEONI,20,1
157,BALAGHAT,20,1
158,GWALIOR,20,1
159,MORENA,20,1
160,CHHINDWARA,20,1
161,BARDHAMAN,14,1
162,HOOGHLY,14,1
163,SOUTH-24 PARAGANAS,14,1
165,SILCHAR,16,1
166,HALDWANI,59,1
167,JAUNPUR,98,1
168,BIOARA,20,1
169,SHIVPURI,20,1
170,KATNI,20,1
173,BALASORE,15,1
174,DHENKANAL,15,1
175,DEBAGARH,15,1
176,GANJAM,15,1
177,SONAPUR,15,1
178,ROURKELA,15,1
179,TRIPURA,16,1
180,MANIPUR,16,1
181,DHEMAJI,16,1
182,LAKHIMPUR,16,1
183,NAGAON,16,1
184,NALBARI,16,1
185,BANKURA,14,1
186,BIRBHUM,14,1
187,MALDA,14,1
188,MEDINIPUR,14,1
190,ARA,11,1
191,VILA VIANA,60,5
192,DIMAPUR,16,1
193,SHILLONG,16,1
194,BONGAIGAON,16,1
195,TINSUKIA,16,1
197,GOA,4,1
198,BETUL,20,1
199,JALESWAR,14,1
200,SATNA,20,1
201,FIROZPUR,9,1
203,COLOMBO,61,4
204,LUMDING,16,1
205,BALLIA,98,1
208,KHATIMA,98,1
209,KHATIMA,59,1
210,BALANGIR,15,1
211,HANUMANGARH,2,1
212,RAMPURHAT,14,1
213,SIKAR,2,1
214,banglore,6,1
215,MANDSAUR,20,1
216,BERHAMPORE,14,1
217,DIMOND HARBOUR,14,1
218,KANO,101,3
219,ABA,102,3
220,ONITSHA,103,3
221,PORT HARCOURT,104,3
222,ETAH,98,1
223,ETAWAH,98,1
226,MOHALI,52,1
227,BUXAR,11,1
228,CHAPRA,11,1
229,SHEIKHPURA,11,1
230,NOVEL PARASI,118,27
231,BULANDSHAHR,98,1
232,BHARATPUR,2,1
233,SINDHUDURG,5,1
234,KALAHANDI,15,1
235,MADGAON,4,1
237,ROHTAK,10,1
238,GORAKHPUR,98,1
239,SOUTH 24 PARGANAS,14,1
240,NORTH 24 PARGANAS,14,1
241,24 PGS (N),14,1
242,GOALPARA,16,1
243,MANDLA,20,1
244,SRIKAKULAM,8,1
245,AMBEDKAR NAGAR,98,1
246,ALMORA,59,1
251,UNNAO,98,1
253,HARIDWAR,98,1
256,KURNOOL,8,1
257,MAHABOOB NAGAR,8,1
258,RANGAREDDY,8,1
259,NIZAMABAD,8,1
260,ADILABAD,8,1
261,KARIMNAGAR,8,1
262,WARANGAL,8,1
263,KHAMMAM,8,1
264,NALGONDA,8,1
265,VIZIANAGARAM,8,1
266,VISAKHAPATNAM,8,1
267,KAKAINADA(EG),8,1
268,ELURU,8,1
269,KRISHNA,8,1
270,GUNTUR,8,1
271,ONGOLE,8,1
272,NELLORE,8,1
273,TIRUPATHI,8,1
274,KADAPA,8,1
275,ANATHAPUR,8,1
276,COIMBATORE,7,1
277,CUDDALORE,7,1
278,DINDIGUL,7,1
279,KANCHIPURAM,7,1
280,NILGIRIS,7,1
281,PERUNDURAI (ERODE),7,1
282,RAMANATHAPURAM,7,1
283,SALEM,7,1
284,COLLECTORATE,7,1
285,TIRUNELVELI,7,1
286,TIRUVANNAMALAI,7,1
287,VELLORE,7,1
288,VIRUDHUNAGAR,7,1
