Product_Code,ProductPriceType_Code,Price,GST,Effective_From,Effective_To
2824,7,25,12,26/May/2018,
2739,7,44,12,26/May/2018,
2825,7,16,12,26/May/2018,
2568,7,65,12,26/May/2018,
2569,7,97.5,12,26/May/2018,
2855,7,70,12,26/May/2018,
2869,7,14.5,12,26/May/2018,
2870,7,58,12,26/May/2018,
2719,7,59,12,26/May/2018,
2726,7,15,12,26/May/2018,
2744,7,130,12,26/May/2018,
2749,7,26,12,26/May/2018,
2656,7,42.5,12,26/May/2018,
2840,7,100,12,26/May/2018,
2841,7,137,12,26/May/2018,
2850,7,33.67,12,26/May/2018,
2756,7,42.25,12,26/May/2018,
2757,7,45.5,12,26/May/2018,
2763,7,32,12,26/May/2018,
2135,7,29,12,26/May/2018,
2853,7,100,12,26/May/2018,
2848,7,26,12,26/May/2018,
2764,7,55,12,26/May/2018,
2847,7,39,12,26/May/2018,
2835,7,42.8,12,26/May/2018,
2836,7,65,12,26/May/2018,
2774,7,51,12,26/May/2018,
2772,7,89,12,26/May/2018,
714,7,45,12,26/May/2018,
2852,7,51,12,26/May/2018,
2778,7,95,12,26/May/2018,
2138,7,35,12,26/May/2018,
2740,7,24.75,12,3/Aug/2018,
2827,7,18.5,12,3/Aug/2018,
2742,7,52,12,3/Aug/2018,
2872,7,33.9,12,3/Aug/2018,
2838,7,24.9,12,3/Aug/2018,
2103,7,187,12,3/Aug/2018,
2844,7,298,12,3/Aug/2018,
2717,7,75.8,12,3/Aug/2018,
2718,7,64.8,12,3/Aug/2018,
2165,7,44.75,12,3/Aug/2018,
2843,7,47,12,3/Aug/2018,
2775,7,8.8,12,3/Aug/2018,
2773,7,59,12,3/Aug/2018,
2912,7,60,12,10/Sep/2018,
2897,7,204,12,10/Sep/2018,
2915,7,20,12,10/Sep/2018,
2918,7,36.2,12,17/Sep/2018,
2925,7,80,12,17/Sep/2018,
2433,7,185,12,20/Sep/2018,
2751,7,399,12,21/Sep/2018,
2913,7,100,12,22/Sep/2018,
2317,7,32,12,24/Sep/2018,
2911,7,40,12,24/Sep/2018,
2917,7,90,12,24/Sep/2018,
2899,7,50,12,25/Sep/2018,
2916,7,57,12,25/Sep/2018,
451,7,95,12,29/Sep/2018,
2712,7,360,12,3/Oct/2018,
2759,7,430,12,15/Oct/2018,
2906,7,96,12,15/Oct/2018,
3257,7,16,0,15/Oct/2018,
2920,7,80,12,17/Oct/2018,
3272,7,13,0,1/Oct/2018,
3158,7,79,12,30/Oct/2018,
2919,7,90,12,1/Oct/2018,
2829,7,30,12,3/Nov/2018,
2830,7,55,12,3/Nov/2018,
2905,7,68,12,1/Oct/2018,
2901,7,80,12,1/Oct/2018,
2914,7,25,12,1/Oct/2018,
2909,7,46,12,1/Nov/2018,
3289,7,22,0,1/Nov/2018,
2867,7,8.4,12,4/Dec/2018,
2728,7,28.08,12,4/Dec/2018,
2907,7,247.5,12,4/Dec/2018,
2859,7,135.45,12,4/Dec/2018,
2868,7,10.5,12,4/Dec/2018,
2720,7,15.75,12,4/Dec/2018,
2860,7,267.5,12,4/Dec/2018,
2044,7,73.83,12,4/Dec/2018,
