Product_Code,Generic_Name,Brand_Name,HSN_Code,Category_Code,Packing_Code,ParentTherapeuticCategory_Code,TherapeuticCategory_Code,OrderQtyMultipleOf_Chemist,OrderQtyMultipleOf_Customer,IsDisplayExpiry,GoLive
51,TRANEXAMIC ACID & MEFENAMIC ACID TABLETS,TRANEXAMIC ACID & MEFENAMIC ACID TABLETS (NESTRAN-MF),,2,12,57,28,1,1,0,1
451,IBUPROFEN & ACETAMINOPHEN TABLETS (400 + 325 MG),IBUPROFEN & ACETAMINOPHEN TABLETS (400 + 325 MG)    (IBUCET),30049063,2,12,57,1,1,1,0,1
451,IBUPROFEN & ACETAMINOPHEN TABLETS (400 + 325 MG),IBUPROFEN & ACETAMINOPHEN TABLETS (400 + 325 MG)    (IBUCET),30049063,2,12,57,1,1,1,0,1
714,PROMETHAZINE TABLETS IP 25 MG,PROMETHAZINE TABLETS IP 25 MG (METHAZINE),30042049,2,12,57,4,1,1,0,1
2044,AMOXYCILLIN TRIHYDRATE DISPERSIBLE TABLETS IP 125 MG,AMOXYCILLIN TRIHYDRATE DISPERSIBLE TABLETS IP 125 MG (NESMOX-125 DT),30041030,2,12,57,5,1,1,0,1
2045,AMOXYCILLIN TRIHYDRATE DISPERSIBLE TABLETS IP 250 MG,AMOXYCILLIN TRIHYDRATE DISPERSIBLE TABLETS IP 250 MG (NESMOX-250 DT),30041030,2,12,57,5,1,1,0,1
2051,PARACETAMOL SYRUP IP 125MG/5ML,PARACETAMOL SYRUP IP 125MG/5ML (VETOCIN-125 SYRUP),30049069,6,50,57,1,1,1,0,1
2103,LEVOFLOXACIN TABLETS IP 250 MG,LEVOFLOXACIN TABLETS IP 250 MG (LEVONES-250),30042039,2,12,57,5,1,1,0,1
2106,AZITHROMYCIN TABLETS IP 250 MG,AZITHROMYCIN TABLETS IP 250 MG (AZINES-250),30042064,2,12,57,5,1,1,0,1
2135,ISOSORBIDE DINITRATE TABLETS IP 5 MG,ISOSORBIDE DINITRATE TABLETS IP 5 MG (ISOB-5),30049099,2,12,57,8,1,1,0,1
2138,ZINC SULPHATE TABLETS IP 20 MG,ZINC SULPHATE TABLETS IP 20 MG- DT (NESZIN-20),30049099,2,12,57,14,1,1,0,1
2165,PARACETAMOL TABLETS IP 500 MG,PARACETAMOL TABLETS IP 500 MG (VETOCIN-500),30049069,2,12,57,1,1,1,0,1
2297,NORFLOXACIN 400 MG + TINIDAZOLE 600 MG TABLETS IP,NORFLOXACIN 400 MG + TINIDAZOLE 600 MG TABLETS IP (FLONIL),30049023,2,12,57,5,1,1,0,1
2317,AMLODIPINE BESILATE TABLETS IP 5 MG,AMLODIPINE BESILATE TABLETS IP 5 MG  (NESMED-5),30049099,2,12,57,8,1,1,0,1
2433,CEFIXIME TABLETS IP 100 MG,CEFIXIME TABLETS IP 100 MG (NESTOCEF-100),30042019,2,12,57,5,1,1,0,1
2568,ATORVASTATIN TABLETS IP 10 MG,ATORVASTATIN TABLETS IP 10 MG (NESTORVA-10),30049079,2,12,57,8,1,1,0,1
2569,ATORVASTATIN TABLETS IP 20 MG,ATORVASTATIN TABLETS IP 20 MG (NESTORVA-20),30049079,2,12,57,8,1,1,0,1
2656,DICYCLOMINE HYDROCHLORIDE AND PARACETAMOL TABLETS (20+325 MG),DICYCLOMINE HYDROCHLORIDE AND PARACETAMOL TABLETS (20+325 MG) (NECYCLO-P),30049035,2,12,NULL,16,1,1,0,1
2711,CEPHALEXIN CAPSULES IP 250 MG,CEPHALEXIN CAPSULES IP 250 MG (NALAXIN-250),30042012,1,12,57,5,1,1,0,1
2712,CEPHALEXIN CAPSULES IP 500 MG,CEPHALEXIN CAPSULES IP 500 MG (NALAXIN-500),30042012,1,12,57,5,1,1,0,1
2715,DOXYCYCLINE CAPSULES IP 100 MG,DOXYCYCLINE CAPSULES IP 100 MG (DOC-100),30049099,1,12,57,5,1,1,0,1
2717,OMEPRAZOLE AND DOMPERIDONE CAPSULES (20 MG + 10 MG),OMEPRAZOLE AND DOMPERIDONE CAPSULES (20 MG + 10 MG) (ULCEZ-D),30049099,1,12,57,13,1,1,0,1
2718,OMEPRAZOLE CAPSULES IP 20 MG,OMEPRAZOLE CAPSULES IP 20 MG (ULCEZ),30049034,1,12,57,13,1,1,0,1
2719,PIROXICAM CAPSULES IP 20 MG,PIROXICAM CAPSULES IP 20 MG (REDENE),30049066,1,12,57,1,1,1,0,1
2720,AMOXICILLIN ORAL SUSPENSION IP 250MG/5ML,AMOXICILLIN ORAL SUSPENSION IP 250MG/5ML (NESMOX-250),30041030,7,31,57,5,1,1,0,1
2723,CEPHALEXIN ORAL SUSPENSION IP 125 MG/5ML,CEPHALEXIN ORAL SUSPENSION IP 125 MG/5ML (NALAXIN-125),30042012,7,31,57,5,1,1,0,1
2725,CEFIXIME FOR ORAL SUSPENSION IP 100MG/5ML (15 GM / 30 ML),CEFIXIME FOR ORAL SUSPENSION IP 100MG/5ML (NESTOCEF-100) (15 GM / 30 ML),30042019,7,31,57,5,1,1,0,1
2726,POVIDONE IODINE SOLUTION IP 5% W/V,POVIDONE IODINE SOLUTION IP 5% W/V (NESTOINE-S 5),30049099,6,4,57,27,1,1,0,1
