PIN,State_id,City_id
612502,7,415
691555,17,537
591223,6,865
581111,6,881
754231,15,636
362715,65,464
384360,65,822
396463,65,824
852138,11,792
574279,6,875
416005,5,391
412214,5,55
365440,65,452
142043,9,807
440003,5,68
143303,9,680
122108,10,44
608201,7,277
788031,16,851
829107,13,518
828305,13,764
274603,98,523
602101,7,279
507101,144,515
577429,6,889
521329,8,269
752046,15,644
416316,5,409
277502,98,205
796901,25,920
682012,17,293
534267,8,849
415508,5,86
691500,17,536
521402,8,269
761104,15,176
764040,15,635
734436,14,839
484555,20,329
143113,9,680
621715,7,902
606708,7,286
680304,17,539
788819,16,855
757043,15,638
445202,5,403
210203,98,584
799002,26,936
626201,7,288
695099,17,535
580008,6,877
581348,6,892
262902,98,549
804417,11,788
798626,22,930
533274,8,847
735228,14,840
423101,5,384
221204,98,569
854113,11,450
631202,7,279
518346,8,256
756080,15,173
472001,20,336
332030,2,213
611106,7,706
506252,144,514
518112,8,256
454221,20,49
141204,9,24
127029,10,444
302002,2,32
444806,5,402
246431,59,701
334808,2,360
621216,7,416
670143,17,298
742137,14,710
754201,15,121
758019,15,633
416605,5,233
333304,2,349
629701,7,904
413511,5,398
203203,98,231
212216,98,572
843112,11,5
802213,11,432
841316,11,663
321303,2,232
221409,98,621
262551,59,795
631151,7,287
505476,144,513
224135,98,245
841244,11,489
642006,7,276
517001,8,846
723126,14,843
759104,15,137
590018,6,865
781310,16,184
491993,18,684
225204,98,553
783354,16,861
495557,18,687
388640,65,817
393135,65,89
853204,11,483
331302,2,357
673106,17,541
563136,6,883
782460,16,183
785616,16,119
385010,65,818
609118,7,706
273405,98,238
312204,2,358
603306,7,279
676506,17,540
560075,6,867
721455,14,424
756137,15,626
380063,65,37
110071,1,16
689622,17,538
493887,18,835
361305,65,456
230130,98,126
805124,11,522
207501,98,661
500038,144,508
690558,17,538
515611,8,845
522412,8,270
722174,14,185
403722,4,816
804423,11,437
382840,65,822
713346,14,161
700031,14,63
732125,14,187
423701,5,392
415639,5,383
413202,5,389
451556,20,379
144101,9,531
847230,11,8
721601,14,424
224208,98,245
136020,10,443
796431,25,919
515465,8,845
415712,5,383
670704,17,298
522324,8,270
535591,8,265
767067,15,210
452009,20,23
636105,7,283
688540,17,538
673313,17,298
686016,17,297
741162,14,420
144028,9,531
535568,8,265
829122,13,778
415410,5,409
586201,6,870
584113,6,887
494446,18,833
416201,5,391
382825,65,822
246124,59,435
110093,1,16
683562,17,293
680012,17,539
144401,9,805
341504,2,346
686672,17,293
782138,16,183
481001,20,157
302017,2,32
505330,144,513
686630,17,297
530027,8,266
365601,65,452
630106,7,417
211003,98,814
230301,98,126
636807,7,410
501301,144,508
786623,16,854
521183,8,269
401103,5,56
506164,144,514
673574,17,541
531162,8,266
508114,144,509
741401,14,420
403107,4,815
207403,98,222
123303,10,734
642122,7,276
627111,7,285
562160,6,888
572134,6,890
799275,26,933
584136,6,887
431109,5,392
600094,7,22
756133,15,173
456010,20,144
802131,11,227
814156,13,769
384345,65,822
471606,20,336
711306,14,27
768211,15,631
691553,17,536
317,65,819
141014,9,24
695006,17,535
574226,6,875
524221,8,272
400063,5,15
365455,65,452
222141,98,167
246475,59,796
600041,7,22
782139,16,859
626131,7,288
500073,144,508
682311,17,293
573210,6,880
577131,6,872
562101,6,873
414305,5,753
271126,98,559
451660,20,368
263126,59,504
713130,14,161
470229,20,148
486889,20,335
145024,9,803
332702,2,213
797121,22,924
606801,7,286
416620,5,233
246733,98,478
630551,7,417
628751,7,413
682019,17,293
581401,6,892
515231,8,845
415727,5,383
201309,98,610
136129,10,74
639116,7,705
516289,8,274
753003,15,121
370665,65,821
224189,98,245
224204,98,487
151108,9,681
768027,15,625
431131,5,396
403707,4,816
209732,98,664
632601,7,287
686577,17,297
679106,17,539
591316,6,865
560045,6,867
762010,15,632
390002,65,46
400010,5,15
263148,59,798
803110,11,4
632203,7,287
576112,6,891
342302,2,66
341021,2,346
732201,14,187
250402,98,134
484776,20,338
311407,2,361
612903,7,902
571249,6,882
713369,14,161
385566,65,818
788101,16,851
743425,14,240
755061,15,636
508202,144,509
700137,14,239
495660,18,687
495452,18,714
144606,9,805
600011,7,22
577124,6,872
262203,98,127
140412,9,761
799290,26,934
246723,98,478
271302,98,559
689514,17,537
756027,15,173
441201,5,68
246763,59,62
520013,8,269
731240,14,186
571124,6,886
522616,8,270
835225,13,33
425203,5,387
134203,10,58
689124,17,538
560105,6,867
756167,15,626
444502,5,400
231307,98,500
244413,98,573
455339,20,152
483110,20,155
641017,7,276
722144,14,185
361320,65,456
140307,9,810
509409,144,506
784025,16,863
391250,65,46
601102,7,279
848134,11,570
521344,8,269
713429,14,161
247665,59,62
637303,7,283
691002,17,536
415523,5,86
151001,9,681
609702,7,706
131039,10,72
301414,2,73
562120,6,888
391120,65,823
272129,98,532
731303,14,186
754140,15,630
752065,15,640
402115,5,78
233230,98,425
244924,98,616
625103,7,50
680656,17,539
785008,16,117
831013,13,781
431720,5,394
201014,98,120
334302,2,360
796471,25,919
629163,7,904
623521,7,282
786190,16,195
735135,14,840
767037,15,210
754025,15,121
413255,5,389
813106,11,439
855102,11,450
314404,2,354
610205,7,503
413530,5,397
360452,65,461
383316,65,827
144525,9,804
626108,7,288
670641,17,298
686507,17,297
532484,8,244
132046,10,95
431801,5,399
485113,20,200
147006,9,761
804454,11,4
613501,7,415
686653,17,297
416113,5,391
370650,65,821
641030,7,276
560022,6,867
835230,13,770
387380,65,820
403507,4,815
473774,20,169
134003,10,58
614801,7,411
631213,7,703
505184,144,513
795141,21,899
721435,14,842
680311,17,539
411039,5,55
394516,65,454
229203,98,618
487330,20,371
246446,59,701
642205,7,276
680510,17,539
577101,6,872
573127,6,880
700150,14,239
413706,5,753
390017,65,46
221116,98,569
507159,144,515
700129,14,240
767017,15,177
364002,65,40
335022,2,353
582114,6,878
734320,14,839
585416,6,869
782410,16,862
712410,14,161
