SalesScheme_Code,SalesScheme_Name,Category_Code,SchemeOn_Code,Product_Code,SchemeOn,DiscountType_Code,Discount,NextMinSaleQty_ForScheme,Free_Qty,Effective_From,Effective_To,Office_Code
884,1+1,2,1,2911,1,0,0,1,1,6/Feb/2020,,1
885,2+1,2,1,2915,2,0,0,2,1,6/Feb/2020,,1
886,1+1,2,1,2916,1,0,0,1,1,6/Feb/2020,,1
887,1+1,2,1,2917,1,0,0,1,1,6/Feb/2020,,1
891,3+1,2,1,2045,3,0,0,3,1,5/Mar/2020,,1
892,2+1,2,1,2913,2,0,0,2,1,5/Mar/2020,,1
893,3+1,2,1,2854,3,0,0,3,1,5/Mar/2020,,1
894,2+1,2,1,2914,2,0,0,2,1,5/Mar/2020,,1
895,2+1,2,1,2905,2,0,0,2,1,5/Mar/2020,,1
896,2+1,2,1,2901,2,0,0,2,1,5/Mar/2020,,1
897,2+1,2,1,2906,2,0,0,2,1,5/Mar/2020,,1
