State_Code,Country_Code,State_Name,GSTState_Code
1,1,DELHI,07
2,1,RAJASTHAN,08
4,1,GOA,30
5,1,MAHARASHTRA,27
6,1,KARNATAKA,29
7,1,TAMIL NADU,33
8,1,ANDHRA PRADESH,28
9,1,PUNJAB,03
10,1,HARYANA,06
11,1,BIHAR,10
12,1,HIMACHAL PRADESH,02
13,1,JHARKHAND,20
14,1,WEST BENGAL,19
15,1,ODISHA,21
16,1,ASSAM,18
17,1,KERALA,32
18,1,CHATTISGARH,22
19,1,JAMMU & KASHMIR,01
20,1,MADHYA PRADESH,23
21,1,MANIPUR,14
22,1,NAGALAND,13
23,1,MEGHALAYA,17
24,1,SIKKIM,11
25,1,MIZORAM,15
26,1,TRIPURA,16
51,1,ANDAMAN & NICOBAR ISLANDS,35
52,1,CHANDIGARH,04
53,1,DADRA & NAGAR HAVELI,26
54,1,DAMAN & DIU,25
55,1,LAKSHADWEEP,31
56,1,PONDICHERRY,34
59,1,UTTARAKHAND,05
60,5,LUANDA,96
61,4,COLOMBO,96
62,2,YORKSHIRE,96
63,2,SUFFOLK,96
64,3,LAGOS,96
65,1,GUJARAT,24
66,6,ZHEJIANG,96
67,1,ARUNANCAHL PRADESH,12
68,2,LONDON,96
69,2,HAMPSHIRE,96
70,2,NORTHAMPTONSHIRE,96
71,2,SURREY,96
72,2,ESSEX,96
73,2,NOTTINGHAMSHIRE,96
74,2,WOCKHARDT,96
75,2,MANCHESTER,96
76,2,DERBYSHIRE,96
77,2,LANCASHIRE,96
78,14,NEW YORK,96
79,8,FRANFURT,96
80,8,ROSENBERG,96
81,16,SPAIN,96
82,10,MILANO,96
84,24,NAIROBI,96
85,19,DUBAI,96
86,2,ENGLAND,96
87,4,MAWATHA,96
88,20,BRAZZAVILLE,96
89,18,YANGON,96
90,21,DAKAR-HANN,96
92,1,ANDHRA PRADESH (NEW),37
93,27,THAPA,96
95,28,HANOI,96
96,29,RWANDA,96
98,1,UTTAR PRADESH,09
99,31,DAR-ES-SALAM,96
100,20,KINSHASA,96
101,3,KANO,96
102,3,ABIA,96
103,3,ANAMBRA,96
104,3,RIVERS,96
105,31,ARUSHA,96
106,31,MOROGORO,96
107,31,DODOMA,96
108,31,IRINGA,96
109,31,MBEYA,96
110,31,RUVUMA,96
111,31,TANGA,96
112,31,MOSHI,96
113,31,MWANZA,96
114,31,SHINYANGA,96
115,31,SINGIDA,96
116,31,MTWARA,96
117,31,LINDI,96
118,27,NOVEL PARASI,96
119,5,UIZE,96
120,5,CABINDA,96
121,5,MALANGE,96
122,5,ZAIRE,96
123,5,KONZA SUL,96
124,5,KONZA NORTH,96
125,5,MOXICO,96
126,5,LUANDA NORTH,96
127,5,KUANDO - KUBANGA,96
128,5,HUAMBO,96
129,5,BENGULA,96
130,5,CUNELE,96
131,5,BENGO,96
132,5,HUILA,96
133,5,BIL,96
134,5,NAMIBE,96
135,34,PHNOM PENH,96
137,24,CENTRAL,96
138,24,COAST,96
139,24,EASTERN,96
140,24,NORTH EASTERN,96
141,24,NYANZA,96
142,24,RIFT VALLEY,96
143,24,WESTERN,96
144,1,TELANGANA,36
145,37,BUJUMBURA,96
146,36,KABUL,96
147,35,LAOS,96
148,38,DOHA,96
149,25,SINGAPORE,96
150,6,SHANDONG,96
151,40,ONTARIO,96
152,17,PHILIPPINES,96
